10:55:53.522 [main] INFO  com.polestar.ndcrefill.Main - starting app
10:55:53.889 [main] INFO  com.polestar.ndcrefill.Main - Starting count in shipposition table: 154362
10:55:53.921 [main] INFO  com.polestar.ndcrefill.Main - ShipPosition Generator Value: 3134
10:55:53.979 [main] INFO  com.polestar.ndcrefill.Main - max ship position id is: 156670 Current shipPositionID: 170000
10:55:53.979 [main] INFO  com.polestar.ndcrefill.FileService - starting to process file
10:55:54.280 [main] INFO  com.polestar.ndcrefill.FileService - Positions count: 68
10:55:54.281 [main] INFO  com.polestar.ndcrefill.Main - Start: 2022-06-08 10:55:54.281
10:55:54.313 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"03:16:12","trail_date":"2022-06-05","trail_time":"03:10:00","trail_latitude":"4.735333333","trail_longitude":"114.1353333","trail_speed":"0","trail_heading":"308","i_m_o_number":"9708409","DC_ID":"1019"}
10:55:54.314 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-04","creation_time":"21:12:32","trail_date":"2022-06-04","trail_time":"21:10:00","trail_latitude":"4.719333333","trail_longitude":"114.1506667","trail_speed":"8.4","trail_heading":"292","i_m_o_number":"9708409","DC_ID":"1019"}
10:55:54.314 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-04","creation_time":"15:12:28","trail_date":"2022-06-04","trail_time":"15:10:00","trail_latitude":"4.652","trail_longitude":"114.1793333","trail_speed":"0","trail_heading":"292","i_m_o_number":"9708409","DC_ID":"1019"}
10:55:54.315 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-04","creation_time":"09:12:18","trail_date":"2022-06-04","trail_time":"09:10:00","trail_latitude":"4.735333333","trail_longitude":"114.1353333","trail_speed":"0","trail_heading":"307","i_m_o_number":"9708409","DC_ID":"1019"}
10:55:54.315 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-02","creation_time":"03:15:43","trail_date":"2022-06-02","trail_time":"03:10:00","trail_latitude":"4.709333333","trail_longitude":"114.1133333","trail_speed":"0.2","trail_heading":"133","i_m_o_number":"9708409","DC_ID":"1019"}
10:55:54.316 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-02","creation_time":"09:12:21","trail_date":"2022-06-02","trail_time":"09:10:00","trail_latitude":"4.735333333","trail_longitude":"114.1353333","trail_speed":"0","trail_heading":"307","i_m_o_number":"9708409","DC_ID":"1019"}
10:55:54.316 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-02","creation_time":"15:12:26","trail_date":"2022-06-02","trail_time":"15:10:00","trail_latitude":"4.657333333","trail_longitude":"114.1806667","trail_speed":"0","trail_heading":"285","i_m_o_number":"9708409","DC_ID":"1019"}
10:55:54.317 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-02","creation_time":"21:12:20","trail_date":"2022-06-02","trail_time":"21:10:00","trail_latitude":"4.723333333","trail_longitude":"114.148","trail_speed":"8.4","trail_heading":"313","i_m_o_number":"9708409","DC_ID":"1019"}
10:55:54.317 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-03","creation_time":"03:12:29","trail_date":"2022-06-03","trail_time":"03:10:00","trail_latitude":"4.767333333","trail_longitude":"114.158","trail_speed":"0","trail_heading":"102","i_m_o_number":"9708409","DC_ID":"1019"}
10:55:54.318 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-03","creation_time":"09:12:30","trail_date":"2022-06-03","trail_time":"09:10:00","trail_latitude":"4.735333333","trail_longitude":"114.1353333","trail_speed":"0","trail_heading":"310","i_m_o_number":"9708409","DC_ID":"1019"}
