10:46:39.191 [main] INFO  com.polestar.ndcrefill.Main - starting app
10:46:39.528 [main] INFO  com.polestar.ndcrefill.Main - ShipPosition Generator Value: 8783
10:46:39.570 [main] INFO  com.polestar.ndcrefill.Main - max ship position id is: 439143 Current shipPositionID: 440000
10:46:39.571 [main] INFO  com.polestar.ndcrefill.FileService - starting to process file
10:46:39.944 [main] INFO  com.polestar.ndcrefill.FileService - Positions count: 775
10:46:39.944 [main] INFO  com.polestar.ndcrefill.Main - Start: 2022-06-09 10:46:39.944
10:46:39.994 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-04","creation_time":"01:52:18","trail_date":"2022-06-04","trail_time":"01:50:00","trail_latitude":"35.98066667","trail_longitude":"-0.1366666667","trail_speed":"5.2","trail_heading":"202","i_m_o_number":"9761267","DC_ID":"1002"}
10:46:39.995 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-03","creation_time":"19:52:13","trail_date":"2022-06-03","trail_time":"19:50:00","trail_latitude":"36.25666667","trail_longitude":"0.2986666667","trail_speed":"4.4","trail_heading":"240","i_m_o_number":"9761267","DC_ID":"1002"}
10:46:39.996 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-03","creation_time":"13:59:28","trail_date":"2022-06-03","trail_time":"13:56:00","trail_latitude":"36.402","trail_longitude":"0.55","trail_speed":"2.4","trail_heading":"62","i_m_o_number":"9761267","DC_ID":"1002"}
10:46:39.996 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-03","creation_time":"07:52:23","trail_date":"2022-06-03","trail_time":"07:50:00","trail_latitude":"36.496","trail_longitude":"0.7526666667","trail_speed":"2.4","trail_heading":"70","i_m_o_number":"9761267","DC_ID":"1002"}
10:46:39.997 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-03","creation_time":"01:52:28","trail_date":"2022-06-03","trail_time":"01:50:00","trail_latitude":"36.37466667","trail_longitude":"0.4913333333","trail_speed":"2.6","trail_heading":"15","i_m_o_number":"9761267","DC_ID":"1002"}
10:46:39.997 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-02","creation_time":"19:52:24","trail_date":"2022-06-02","trail_time":"19:50:00","trail_latitude":"36.43133333","trail_longitude":"0.736","trail_speed":"2","trail_heading":"74","i_m_o_number":"9761267","DC_ID":"1002"}
10:46:39.998 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-02","creation_time":"13:52:18","trail_date":"2022-06-02","trail_time":"13:50:00","trail_latitude":"36.38333333","trail_longitude":"0.532","trail_speed":"1.8","trail_heading":"65","i_m_o_number":"9761267","DC_ID":"1002"}
10:46:39.998 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-02","creation_time":"07:52:25","trail_date":"2022-06-02","trail_time":"07:50:00","trail_latitude":"36.22533333","trail_longitude":"0.09933333333","trail_speed":"7.4","trail_heading":"200","i_m_o_number":"9761267","DC_ID":"1002"}
10:46:39.999 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-02","creation_time":"01:52:24","trail_date":"2022-06-02","trail_time":"01:50:00","trail_latitude":"36.29933333","trail_longitude":"0.128","trail_speed":"1.2","trail_heading":"72","i_m_o_number":"9761267","DC_ID":"1002"}
10:46:39.999 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"20:15:56","trail_date":"2022-06-05","trail_time":"20:10:00","trail_latitude":"36.96","trail_longitude":"5.626666667","trail_speed":"10.8","trail_heading":"65","i_m_o_number":"9265380","DC_ID":"1002"}
10:46:40.000 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"14:15:07","trail_date":"2022-06-05","trail_time":"14:10:00","trail_latitude":"36.74666667","trail_longitude":"5.08","trail_speed":"0","trail_heading":"318","i_m_o_number":"9265380","DC_ID":"1002"}
10:46:40.000 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"08:11:50","trail_date":"2022-06-05","trail_time":"08:10:00","trail_latitude":"36.74666667","trail_longitude":"5.08","trail_speed":"0","trail_heading":"318","i_m_o_number":"9265380","DC_ID":"1002"}
10:46:40.001 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"02:11:21","trail_date":"2022-06-05","trail_time":"02:10:00","trail_latitude":"36.74666667","trail_longitude":"5.08","trail_speed":"0","trail_heading":"318","i_m_o_number":"9265380","DC_ID":"1002"}
10:46:40.001 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-04","creation_time":"20:12:01","trail_date":"2022-06-04","trail_time":"20:10:00","trail_latitude":"36.74666667","trail_longitude":"5.08","trail_speed":"0","trail_heading":"318","i_m_o_number":"9265380","DC_ID":"1002"}
10:46:40.002 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-04","creation_time":"14:13:06","trail_date":"2022-06-04","trail_time":"14:10:00","trail_latitude":"36.74666667","trail_longitude":"5.08","trail_speed":"0","trail_heading":"318","i_m_o_number":"9265380","DC_ID":"1002"}
10:46:40.002 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-04","creation_time":"08:15:51","trail_date":"2022-06-04","trail_time":"08:10:00","trail_latitude":"36.74666667","trail_longitude":"5.08","trail_speed":"0","trail_heading":"318","i_m_o_number":"9265380","DC_ID":"1002"}
10:46:40.003 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-04","creation_time":"02:28:58","trail_date":"2022-06-04","trail_time":"02:10:00","trail_latitude":"36.74666667","trail_longitude":"5.08","trail_speed":"0","trail_heading":"318","i_m_o_number":"9265380","DC_ID":"1002"}
